Betroffenheit,Einfluss.Studiendauer,Ausgabe.Miete,Ausgabe.Mobilität,Ausgabe.Lebensmittel,Ausgabe.Hygiene/Kosmetik,Ausgabe.Kleidung/Mode,Ausgabe.Freizeit,Ausgabe.Medien,Verhalten.Angebote,Verhalten.Alternativen,Verhalten.Anschaffungen,Verhalten.Kochen,Verhalten.Energie.sparen,Verhalten.Wasser.sparen,Verhalten.Sonstige,Finanz.BAföG,Finanz.Stipendium,Finanz.Familie,Finanz.Nebenjob,Finanz.Kindergeld,Finanz.Sonstiges,Geschlecht,Alter,Semester,Studien.abschnitt,Kritik.Anregung,Datenerheber
1,0,1,2,1,1,2,1,0,1,1,1,1,0,0,NA,0,0,1,1,0,NA,w,24,12,M,NA,1
0,1,NA,1,1,0,0,1,1,1,1,0,0,1,0,NA,0,0,1,0,0,NA,w,20,3,B,NA,1
1,1,0,2,1,1,0,2,0,1,1,1,0,0,1,NA,1,0,0,1,0,NA,w,19,3,B,NA,1
1,0,NA,1,2,0,0,1,-1,1,1,1,1,1,1,NA,0,0,1,1,0,NA,w,19,1,B,NA,1
1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,NA,0,0,1,0,0,NA,w,20,3,B,NA,1
1,0,1,0,1,0,0,1,0,1,1,0,0,1,0,NA,0,1,1,1,0,NA,w,19,3,B,NA,1
2,0,1,0,2,1,1,1,0,1,1,1,1,1,0,NA,0,0,1,1,1,NA,m,24,13,B,NA,1
1,0,2,2,2,1,1,1,1,1,1,1,0,1,0,NA,0,0,1,1,0,NA,w,23,9,M,NA,1
1,0,NA,1,1,0,0,0,1,1,1,1,1,1,0,NA,0,0,1,0,0,NA,w,20,3,B,NA,1
1,0,NA,2,1,1,1,0,0,1,1,0,1,1,0,NA,0,0,1,1,0,NA,w,24,3,B,NA,1
1,0,NA,1,0,0,0,-2,0,0,0,1,1,1,1,NA,0,0,1,0,0,NA,m,20,3,B,NA,2
1,0,1,0,1,1,1,1,0,1,0,1,1,0,0,NA,0,0,1,1,1,NA,w,21,3,B,NA,2
1,2,0,2,1,0,0,0,0,1,1,1,1,1,1,NA,0,0,1,0,0,NA,w,22,5,B,NA,2
2,-1,2,0,2,1,1,1,1,1,1,1,1,1,1,NA,0,0,1,1,0,NA,m,24,11,M,NA,2
1,0,1,0,1,1,1,1,1,1,1,0,0,1,0,NA,0,0,1,1,0,NA,w,20,3,B,NA,2
1,-1,1,1,1,0,0,0,0,1,1,0,1,1,0,NA,0,0,1,0,0,NA,m,20,3,B,NA,2
0,0,NA,0,0,0,1,1,0,1,0,0,0,1,0,NA,0,0,1,1,0,NA,m,21,5,B,NA,2
1,0,1,2,2,1,2,0,0,1,1,1,0,1,0,NA,0,0,1,0,0,NA,w,20,3,B,NA,2
1,0,NA,0,0,0,0,0,0,1,0,1,1,1,1,NA,0,0,1,0,0,NA,w,20,5,B,NA,2
1,0,1,2,1,0,0,0,1,1,1,1,0,1,1,NA,0,0,1,1,0,NA,w,20,5,B,NA,2
1,0,1,0,2,1,1,1,0,0,0,1,0,0,1,NA,1,0,0,0,0,NA,m,20,3,B,NA,2
0,-2,0,0,2,2,2,1,2,0,1,0,1,0,0,NA,1,0,0,0,0,NA,m,33,9,M,NA,3
1,-2,1,1,2,1,1,2,2,1,1,1,0,1,1,NA,1,0,0,1,0,NA,m,29,11,M,NA,3
1,0,1,0,1,1,0,0,0,0,1,0,1,1,1,NA,0,1,0,1,0,NA,m,23,5,B,NA,3
0,-2,0,1,2,2,0,2,2,1,1,1,0,1,0,NA,1,0,0,0,1,Wohng.,w,26,5,B,NA,3
2,-1,2,NA,2,1,0,1,1,1,1,1,0,1,1,NA,1,0,0,1,1,NA,d,21,3,B,NA,3
1,-1,0,2,1,1,0,0,0,1,1,1,1,1,1,NA,0,0,0,1,0,NA,w,35,3,B,NA,3
0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,NA,0,0,1,1,0,NA,m,20,3,B,NA,3
1,0,NA,2,2,0,0,0,1,1,1,0,0,1,0,NA,0,0,1,0,0,NA,w,21,5,B,NA,3
1,-1,2,1,2,2,1,1,0,1,0,0,1,1,0,NA,0,0,1,1,0,NA,w,25,1,B,NA,3
2,-2,2,2,2,2,1,1,1,1,1,1,1,1,0,NA,0,0,1,1,0,NA,w,24,9,M,NA,3
2,1,2,1,2,2,1,1,0,1,1,1,1,1,1,NA,0,0,0,0,1,Unterhalt,w,19,1,B,NA,4
2,-2,2,0,2,1,0,0,0,1,0,1,0,1,1,NA,0,0,1,1,0,NA,w,24,5,B,NA,4
0,-1,2,NA,1,1,1,1,0,1,1,0,0,0,0,NA,0,0,0,1,0,NA,m,21,5,B,NA,4
1,-1,NA,0,1,0,1,1,0,1,1,0,1,1,0,NA,0,0,1,1,0,NA,w,21,5,B,NA,4
1,-1,0,2,2,1,0,2,1,1,1,1,1,1,1,NA,0,0,1,1,0,NA,w,20,1,B,NA,4
1,-1,NA,2,1,1,1,2,0,1,1,1,1,1,1,NA,0,0,0,1,0,NA,w,20,1,B,NA,4
1,0,1,0,1,1,0,1,1,1,1,1,0,1,1,NA,0,0,1,0,0,NA,m,20,3,B,NA,4
1,0,2,0,1,0,0,1,0,1,1,1,1,1,1,NA,0,0,1,1,0,NA,m,21,5,B,NA,4
1,-1,1,2,2,0,0,0,-1,1,0,1,1,1,1,NA,0,0,1,0,0,NA,w,39,18,B,NA,4
1,0,2,2,1,1,1,0,0,1,1,1,1,1,0,NA,0,0,0,1,0,NA,w,20,1,B,NA,4
2,0,0,1,1,0,0,1,1,0,1,1,1,1,1,NA,0,0,1,1,0,NA,m,25,10,M,NA,4
2,-2,2,NA,2,1,1,1,1,1,1,0,1,1,0,NA,0,0,1,0,0,NA,m,30,12,B,NA,4
